CAS,SMILES,Experimental value [log(L/kg)],NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,qed,TPSA,MolMR,BalabanJ,BertzCT,fr_COO,fr_COO2,fr_halogen,MolWt,MolLogP
60-29-7,O(CC)CC,0.475,0,1,1,2,32,0.475268149,9.23,22.167,2.190609687,11.11941548,0,0,0,74.123,1.0428
60-51-5,O=C(NC)CSP(OC)(OC)=S,0.156,0,5,7,5,72,0.712117042,47.56,54.8277,3.892500637,191.1323538,0,0,0,229.263,0.9829
61-82-5,n1c[nH]nc1N,-0.016,1,3,4,0,32,0.440165582,67.59,20.7951,3.049648321,109.1085055,0,0,0,84.082,-0.6131
62-44-2,O=C(Nc1ccc(OCC)cc1)C,0.977,1,2,3,3,70,0.770678867,38.33,51.9147,2.635972641,279.4811493,0,0,0,179.219,2.0437
62-53-3,Nc1ccccc1,0.307,1,1,1,0,36,0.480075463,26.02,30.8544,3.02146531,134.1073697,0,0,0,93.129,1.2688
62-56-6,NC(N)=S,-0.199,0,1,3,0,24,0.370873527,52.04,20.9728,2.803039488,29.01955001,0,0,0,76.124,-0.8113
62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,-0.199,0,4,7,4,66,0.540193894,44.76,42.4985,4.102541909,180.5310796,0,0,2,220.976,2.6804
66-81-9,O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2,-0.038,0,4,5,3,112,0.7571556,83.47,72.5565,1.962195541,404.096576,0,0,0,281.352,1.0415
67-66-3,C(Cl)(Cl)Cl,0.799,0,0,3,0,26,0.427859176,0,21.347,2.323790008,8,0,0,3,119.378,1.9864
67-68-5,O=S(C)C,0.102,0,1,2,0,26,0.398185077,17.07,19.9904,2.803039488,29.01955001,0,0,0,78.136,-0.0053
67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,2.115,0,0,6,0,50,0.562581613,0,40.58,4.020391543,61.509775,0,0,6,236.74,3.7268
68-12-2,O=CN(C)C,-0.107,0,1,2,1,30,0.39026824,20.31,19.751,2.825749369,33.87430298,0,0,0,73.095,-0.2956
70-30-4,Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,2.123,2,2,8,2,112,0.550692991,40.46,89.0796,2.64145002,615.5770288,0,0,6,406.907,6.609
71-55-6,CC(Cl)(Cl)Cl,0.475,0,0,3,0,32,0.445170557,0,25.964,3.023715784,20.36452798,0,0,3,133.405,2.3765
72-55-9,c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl,4.51,2,0,4,2,92,0.619325925,0,80.632,2.509573119,516.2479162,0,0,4,318.03,6.1879
74-31-7,c1ccc(cc1)Nc2ccc(cc2)Nc3ccccc3,3.133,3,2,2,4,98,0.675538973,24.06,85.8914,1.6862844,585.51805,0,0,0,260.34,5.1738
74-97-5,C(Cl)Br,0.454,0,0,2,0,20,0.435707562,0,19.647,1.632993162,4.754887502,0,0,2,129.384,1.5776
75-09-2,C(Cl)Cl,1.066,0,0,2,0,20,0.389962107,0,16.573,1.632993162,2.754887502,0,0,2,84.933,1.4215
75-15-0,C(=S)=S,1.282,0,2,2,0,16,0.394954067,0,20.189,3.265986324,23.77443751,0,0,0,76.145,1.0181
75-25-2,C(Br)(Br)Br,1.219,0,0,3,0,26,0.58127781,0,30.569,2.323790008,8,0,0,3,252.731,2.4547
75-35-4,C=C(Cl)Cl,0.88,0,0,2,0,24,0.432798364,0,20.846,2.803039488,27.01955001,0,0,2,96.944,1.9352
75-65-0,OC(C)(C)C,0.366,0,1,1,0,32,0.449827657,20.23,21.9718,3.023715784,19.11941548,0,0,0,74.123,0.7772
75-71-8,FC(F)(Cl)Cl,0.877,0,0,4,0,32,0.429674059,0,16.653,3.023715784,23.11941548,0,0,4,120.913,2.0143
75-98-9,O=C(O)C(C)(C)C,0.096,0,1,2,0,42,0.497229351,37.3,27.0908,3.791118417,78.57116899,1,1,0,102.133,1.1171
75-99-0,O=C(O)C(C)(Cl)Cl,0.664,0,1,4,1,42,0.56069602,37.3,27.7468,3.791118417,83.42592197,1,1,2,142.969,1.2648
76-03-9,O=C(O)C(Cl)(Cl)Cl,0.025,0,1,5,0,42,0.548785305,37.3,27.9258,3.791118417,83.42592197,1,1,3,163.387,1.4412
76-12-0,FC(C(F)(Cl)Cl)(Cl)Cl,1.901,0,0,6,1,50,0.574780666,0,31.09,4.020391543,67.01955001,0,0,6,203.83,3.1882
76-13-1,FC(F)(C(F)(Cl)Cl)Cl,1.623,0,0,6,1,50,0.553756284,0,26.345,4.020391543,67.509775,0,0,6,187.375,2.9189
76-83-5,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)Cl,2.623,3,0,1,3,98,0.455218197,0,85.061,2.238808464,563.2391421,0,0,1,278.782,5.2173
76-87-9,O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,3.494,3,1,2,3,98,0.698629055,20.23,86.2008,2.238808464,568.8911148,0,0,0,367.036,1.6458
76-93-7,O=C(O)C(O)(c1ccccc1)c2ccccc2,-0.222,2,2,3,3,86,0.844401447,57.53,63.5186,2.594265293,466.005236,1,1,0,228.247,2.0071
77-47-4,C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl,1.182,0,0,6,0,62,0.567571961,0,51.901,3.266578968,234.146208,0,0,6,272.773,4.5523
78-40-0,O=P(OCC)(OCC)OCC,-0.095,0,4,5,6,68,0.590472291,44.76,42.4845,3.90847195,112.7695353,0,0,0,182.156,2.204
78-42-2,O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,1.014,0,4,5,21,176,0.169287539,44.76,125.3805,4.909010056,345.2832479,0,0,0,434.642,8.7935
78-51-3,O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,0.582,0,7,8,21,158,0.206700945,72.45,102.6435,4.044873529,281.1125944,0,0,0,398.477,4.5944
78-59-1,O=C1C=C(C)CC(C)(C)C1,0.39,0,1,1,0,56,0.501755282,17.07,41.779,2.79815417,186.9049472,0,0,0,138.21,2.3218
78-79-5,C=CC(=C)C,1.133,0,0,0,1,28,0.410514682,0,25.011,3.204805418,51.05865003,0,0,0,68.119,1.7485
79-00-5,C(C(Cl)Cl)Cl,0.533,0,0,3,1,32,0.480257548,0,26.214,2.539538861,18.85475297,0,0,3,133.405,2.0289
79-01-6,C(=C(Cl)Cl)Cl,1.114,0,0,3,0,30,0.473775059,0,25.642,3.143197306,42.85475297,0,0,3,131.389,2.5017
79-27-6,C(C(Br)Br)(Br)Br,0.77,0,0,4,1,38,0.640241007,0,43.284,2.993497243,26.52932501,0,0,4,345.654,3.2182
79-34-5,C(C(Cl)Cl)(Cl)Cl,1.03,0,0,4,1,38,0.527311688,0,30.988,2.993497243,26.52932501,0,0,4,167.85,2.5938
79-46-9,O=[N+]([O-])C(C)C,0.321,0,2,3,1,36,0.349775289,43.14,22.1304,3.257586161,59.81353753,0,0,0,89.094,0.6715
79-92-5,C=C2C1CCC(C1)C2(C)C,2.97,0,0,0,0,56,0.448982999,0,43.752,2.336767753,176.4773318,0,0,0,136.238,2.9987
79-94-7,Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br,2.479,2,2,6,2,112,0.455538814,40.46,99.1416,2.614907029,605.3051848,0,0,4,543.875,6.4737
80-05-7,Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C,1.389,2,2,2,2,88,0.826381494,40.46,68.3416,2.412580781,447.9499585,0,0,0,228.291,3.4237
80-43-3,O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C,2.881,2,2,2,5,106,0.573377625,18.46,81.106,2.080213975,478.3593849,0,0,0,270.372,4.8052
81-11-8,O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O),0.28,2,6,10,4,128,0.357614679,160.78,90.266,2.58677351,943.7253495,0,0,0,370.408,1.5148
81-15-2,O=[N+]([O-])c1c(c(c(c(c1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C,3.651,1,6,9,3,114,0.620888598,129.42,74.5792,4.166135675,618.9322145,0,0,0,297.267,3.32554
81-16-3,O=S(=O)(O)c2c(N)ccc1ccccc12,0.278,2,3,5,1,78,0.568880322,80.39,58.175,2.99104341,619.6001476,0,0,0,223.253,1.6687
81-88-9,O=C(O)c1ccccc1C=3c4ccc(cc4(OC2=CC(C=CC2=3)=[N+](CC)CC))N(CC)CC,-0.234,2,3,5,7,170,0.300056169,56.69,135.1433,2.133940883,1342.985089,1,1,0,443.567,5.561
82-05-3,O=C2c1ccccc1c4cccc3cccc2c34,2.142,3,1,1,0,84,0.445095067,17.07,72.8165,2.28071524,794.3191953,0,0,0,230.266,4.0512
82-44-0,O=C2c3ccccc3(C(=O)c1c2(cccc1Cl)),2.421,2,2,3,0,82,0.607025442,34.14,64.759,2.37409393,659.0218278,0,0,1,242.661,3.1154
82-45-1,O=C1c3ccccc3(C(=O)c2c(N)cccc12),2.075,2,3,3,0,82,0.593131634,60.16,64.1614,2.37409393,659.0218278,0,0,0,223.231,2.0442
82-47-3,O=S(=O)(O)c1cc(c2cccc(O)c2(c1(N)))S(=O)(=O)O,0.9,2,6,10,2,108,0.463497874,154.99,69.6544,3.174485605,916.261917,0,0,0,319.316,0.621
83-32-9,c2cc1cccc3c1c(c2)CC3,2.963,2,0,0,0,58,0.546960776,0,51.356,2.580405551,401.9826286,0,0,0,154.212,2.9384
84-51-5,O=C1c3ccccc3(C(=O)c2cc(ccc12)CC),2.207,2,2,2,1,88,0.650472386,34.14,69.127,2.268429126,668.5472201,0,0,0,236.27,3.0244
84-57-1,O=C1N(N=C(C)C1)c2cc(c(cc2Cl)S(=O)(=O)O)Cl,0.801,1,4,9,2,102,0.846464598,87.04,71.4886,2.566712481,699.7263578,0,0,2,323.157,2.3527
84-74-2,O=C(OCCCC)c1ccccc1(C(=O)OCCCC),2.229,1,4,4,8,110,0.538282379,52.6,76.823,2.712391338,398.8579422,0,0,0,278.348,3.6004
84-86-6,O=S(=O)(O)c2ccc(N)c1ccccc12,0.78,2,3,5,1,78,0.568880322,80.39,58.175,2.961958872,619.6001476,0,0,0,223.253,1.6687
84-87-7,O=S(=O)(O)c2ccc(O)c1ccccc12,1.11,2,3,5,1,78,0.724030022,74.6,55.4274,2.961958872,616.3550351,0,0,0,224.237,1.7921
85-01-8,c1ccc3c(c1)ccc2ccccc23,3.312,3,0,0,0,66,0.456410247,0,61.454,2.610318687,539.0090986,0,0,0,178.234,3.993
85-68-7,O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC),0.805,2,4,4,7,120,0.572576044,52.6,87.194,2.03395102,649.4290056,0,0,0,312.365,4.0005
85-83-6,Oc3ccc4ccccc4(c3(N=Nc2ccc(N=Nc1ccccc1C)cc2C)),0.752,4,5,5,4,142,0.357988255,69.67,116.3228,1.611355258,1244.819933,0,0,0,380.451,7.99304
86-30-6,O=NN(c1ccccc1)c2ccccc2,1.482,2,2,3,3,74,0.558097407,32.67,60.818,2.377503317,388.3898118,0,0,0,198.225,3.5061
86-73-7,c1ccc3c(c1)c2ccccc2C3,2.813,2,0,0,0,62,0.480571992,0,54.684,2.320727985,411.6004191,0,0,0,166.223,3.2578
86-87-3,O=C(O)Cc2cccc1ccccc12,0.107,2,1,2,2,70,0.781775211,37.3,55.2878,2.587530917,469.2103532,1,1,0,186.21,2.4669
87-02-5,O=S(=O)(O)c1cc(O)c2ccc(N)cc2(c1),-0.159,2,4,6,1,84,0.515159779,100.62,59.8398,2.851898649,663.8185193,0,0,0,239.252,1.3743
87-40-1,O(c1c(cc(cc1Cl)Cl)Cl)C,2.806,1,1,4,1,60,0.688814801,9.23,48.024,3.24771319,249.3833506,0,0,3,211.475,3.6554
87-61-6,c1cc(c(c(c1)Cl)Cl)Cl,2.955,1,0,3,0,48,0.536102155,0,41.472,3.247834734,199.2929995,0,0,3,181.449,3.6468
87-65-0,Oc1c(cccc1Cl)Cl,1.26,1,1,3,0,48,0.622739722,20.23,38.1268,3.247834734,202.0478871,0,0,2,163.003,2.699
87-68-3,C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl,3.809,0,0,6,1,58,0.596650986,0,49.17,4.708295227,159.9244972,0,0,6,260.762,4.7574
87-83-2,c1(c(c(c(c(c1Br)Br)Br)Br)Br)C,2.459,1,0,5,0,66,0.320867163,0,69.679,3.603567451,226.0615153,0,0,5,486.621,5.80752
87-84-3,C1(C(C(C(C(C1Br)Br)Br)Br)Br)Cl,2.449,0,0,6,0,72,0.421362363,0,73.216,2.760252076,107.4881096,0,0,6,513.087,4.4249
87-86-5,Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,2.666,1,1,6,0,66,0.534640124,20.23,53.1568,3.603567451,230.2032248,0,0,5,266.338,4.6592
88-06-2,Oc1c(cc(cc1Cl)Cl)Cl,1.893,1,1,4,0,54,0.676127858,20.23,43.1368,3.310532875,236.1649959,0,0,3,197.448,3.3524
88-19-7,O=S(=O)(N)c1ccccc1C,0.156,1,2,4,1,60,0.673740135,60.16,42.5522,3.372194811,356.4582525,0,0,0,171.221,0.64242
88-44-8,O=S(=O)(O)c1cc(ccc1(N))C,0.102,1,3,5,1,66,0.50360258,80.39,45.406,3.434493909,397.1125573,0,0,0,187.22,0.82392
88-72-2,O=[N+]([O-])c1ccccc1C,1.344,1,2,3,1,52,0.437911866,43.14,37.8334,3.152941447,257.5379489,0,0,0,137.138,1.90322
88-73-3,O=[N+]([O-])c1ccccc1Cl,1.714,1,2,4,1,52,0.463602103,43.14,38.1064,3.152941447,261.6796584,0,0,1,157.556,2.2482
88-74-4,O=[N+]([O-])c1ccccc1(N),0.69,1,3,4,1,52,0.359543609,69.16,37.5088,3.152941447,259.6796584,0,0,0,138.126,1.177
88-75-5,O=[N+]([O-])c1ccccc1(O),0.999,1,3,4,1,52,0.470728212,63.37,34.7612,3.152941447,258.9247709,0,0,0,139.11,1.3004
88-85-7,O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-],0.476,1,5,7,4,92,0.642655862,106.51,60.1216,3.480470536,472.009216,0,0,0,240.215,2.7221
88-89-1,O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-],-0.139,1,7,10,3,84,0.601626964,149.65,48.07,3.572754538,461.8906851,0,0,0,229.104,1.1168
88-98-2,O=C(O)C1CC=CCC1(C(=O)O),-0.199,0,2,4,2,66,0.599109813,74.6,40.6256,2.758163751,207.2123595,2,2,0,170.164,0.738
89-63-4,O=[N+]([O-])c1cc(ccc1(N))Cl,1.074,1,3,5,1,58,0.399214834,69.16,42.5188,3.23220887,300.6337992,0,0,1,172.571,1.8304
89-93-0,NCc1ccccc1C,0.475,1,1,1,1,48,0.597621856,26.02,39.0704,3.006524007,193.514053,0,0,0,121.183,1.45372
90-20-0,O=S(=O)(O)c1cc(O)c2c(N)cc(cc2(c1))S(=O)(=O)O,0.46,2,6,10,2,108,0.463497874,154.99,69.6544,2.948700104,843.511917,0,0,0,319.316,0.621
90-30-2,c1ccc(cc1)Nc3cccc2ccccc23,3.316,3,1,1,2,82,0.664650917,12.03,73.6727,2.063095014,623.8561252,0,0,0,219.287,4.5834
90-41-5,Nc1ccccc1c2ccccc2,1.47,2,1,1,1,64,0.652435572,26.02,56.2904,2.536070446,392.8790478,0,0,0,169.227,2.9358
90-51-7,O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1),0.159,2,4,6,1,84,0.515159779,100.62,59.8398,2.837106255,663.8185193,0,0,0,239.252,1.3743
90-94-8,O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C,1.591,2,3,3,4,104,0.796269721,23.55,84.9705,2.2190021,529.8919985,0,0,0,268.36,3.0496
91-15-6,N#Cc1ccccc1(C#N),0.401,1,2,2,0,46,0.530203344,47.58,35.872,3.284977739,281.7648556,0,0,0,128.134,1.42996
91-20-3,c1ccc2ccccc2(c1),2.36,2,0,0,0,48,0.511431199,0,43.948,2.888051602,271.0151824,0,0,0,128.174,2.8398
91-22-5,n1cccc2ccccc12,0.396,2,1,1,0,48,0.531191558,12.89,41.743,2.888051602,275.7051383,0,0,0,129.162,2.2348
91-23-6,O=[N+]([O-])c1ccccc1(OC),0.486,1,3,4,2,58,0.478622896,52.37,39.6484,3.121219319,272.1431256,0,0,0,153.137,1.6034
91-57-6,c1ccc2cc(ccc2(c1))C,3.11,2,0,0,0,54,0.529725659,0,48.685,2.828901216,374.4500235,0,0,0,142.201,3.14822
91-58-7,c1ccc2cc(ccc2(c1))Cl,3.63,2,0,1,0,54,0.55644797,0,48.958,2.828901216,379.2844904,0,0,1,162.619,3.4932
91-66-7,c1ccc(cc1)N(CC)CC,2.065,1,1,1,3,60,0.638007358,3.24,50.003,2.738498943,189.2875676,0,0,0,149.237,2.5328
91-94-1,Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl,2.289,2,2,4,1,82,0.758673928,52.04,70.7228,2.502080374,489.0371241,0,0,2,253.132,3.8248
91-96-3,O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C,-0.247,2,4,6,7,146,0.71465945,92.34,109.2074,2.167824804,870.0480937,0,0,0,380.444,3.80564
92-69-3,Oc1ccc(cc1)c2ccccc2,1.677,2,1,1,1,64,0.696938489,20.23,53.5428,2.423855973,375.6290478,0,0,0,170.211,3.0592
92-70-6,O=C(O)c1cc2ccccc2(cc1(O)),0.318,2,2,3,1,70,0.721068732,57.53,52.5721,2.77051081,502.8588453,1,1,0,188.182,2.2436
92-77-3,O=C(Nc1ccccc1)c2cc3ccccc3(cc2(O)),0.698,3,2,3,2,98,0.738495475,49.33,80.008,1.968599173,766.3018322,0,0,0,263.296,3.7977
92-84-2,c1ccc3c(c1)Nc2ccccc2S3,2.671,2,2,2,0,68,0.589075014,12.03,60.2897,2.124918322,391.7528749,0,0,0,199.278,3.8948
92-86-4,c1cc(ccc1c2ccc(cc2)Br)Br,3.995,2,0,2,1,70,0.7039555,0,67.278,2.39650904,371.5796467,0,0,2,312.004,4.8786
94-52-0,O=[N+]([O-])c1ccc2[nH]cnc2(c1),0.232,2,3,5,1,60,0.510666528,71.82,42.7481,2.676772327,434.8990384,0,0,0,163.136,1.4711
95-48-7,Oc1ccccc1C,1.03,1,1,1,0,42,0.535935436,20.23,32.8438,3.134861511,160.4966295,0,0,0,108.14,1.70062
95-49-8,c1ccc(c(c1)C)Cl,1.905,1,0,1,0,42,0.501501666,0,36.189,3.134861511,160.4966295,0,0,1,126.586,2.64842
95-50-1,c1ccc(c(c1)Cl)Cl,2.5,1,0,2,0,42,0.528586339,0,36.462,3.134861511,162.6383389,0,0,2,147.004,2.9934
95-51-2,Nc1ccccc1Cl,0.913,1,1,2,0,42,0.529786082,26.02,35.8644,3.134861511,164.6383389,0,0,1,127.574,1.9222
95-56-7,Oc1ccccc1Br,1.514,1,1,2,0,42,0.636683481,20.23,35.8068,3.134861511,164.6383389,0,0,1,173.009,2.1547
95-57-8,Oc1ccccc1Cl,1.061,1,1,2,0,42,0.567107755,20.23,33.1168,3.134861511,164.6383389,0,0,1,128.558,2.0456
95-63-6,c1cc(c(cc1C)C)C,2.256,1,0,0,0,48,0.493392712,0,40.653,3.17167803,211.278337,0,0,0,120.195,2.61186
95-64-7,Nc1ccc(c(c1)C)C,0.645,1,1,1,0,48,0.520972632,26.02,40.3284,3.17167803,215.8076621,0,0,0,121.183,1.88564
95-69-2,Nc1ccc(cc1C)Cl,1.205,1,1,2,0,48,0.551296349,26.02,40.6014,3.17167803,220.1561776,0,0,1,141.601,2.23062
95-76-1,Nc1ccc(c(c1)Cl)Cl,1.148,1,1,3,0,48,0.582518852,26.02,40.8744,3.17167803,222.2978871,0,0,2,162.019,2.5756
95-77-2,Oc1ccc(c(c1)Cl)Cl,1.811,1,1,3,0,48,0.622739722,20.23,38.1268,3.17167803,222.2978871,0,0,2,163.003,2.699
95-78-3,Nc1cc(ccc1C)C,0.487,1,1,1,0,48,0.520972632,26.02,40.3284,3.17167803,215.8076621,0,0,0,121.183,1.88564
95-80-7,Nc1ccc(c(N)c1)C,1.199,1,2,2,0,48,0.50715842,52.04,40.0038,3.17167803,218.1561776,0,0,0,122.171,1.15942
95-82-9,Nc1cc(ccc1Cl)Cl,1.287,1,1,3,0,48,0.582518852,26.02,40.8744,3.17167803,222.2978871,0,0,2,162.019,2.5756
95-94-3,c1c(c(cc(c1Cl)Cl)Cl)Cl,3.705,1,0,4,0,54,0.566615555,0,46.482,3.282462907,205.9198834,0,0,4,215.894,4.3002
95-95-4,Oc1cc(c(cc1Cl)Cl)Cl,2.455,1,1,4,0,54,0.63249081,20.23,43.1368,3.282462907,209.1649959,0,0,3,197.448,3.3524
96-12-8,C(C(CBr)Br)Cl,1.146,0,0,3,2,38,0.645798859,0,37.229,2.754184786,27.97416845,0,0,3,236.334,2.3836
96-18-4,C(C(CCl)Cl)Cl,1.022,0,0,3,2,38,0.524728274,0,31.081,2.754184786,25.21928095,0,0,3,147.432,2.0714
96-29-7,ON=C(C)CC,0.179,0,2,2,1,36,0.29113984,32.59,25.1865,3.218815056,58.56842503,0,0,0,87.122,1.2465
96-45-7,N1C(NCC1)=S,-0.289,0,1,3,0,34,0.401783385,24.06,28.6034,2.367351851,63.1934494,0,0,0,102.162,-0.5359
96-69-5,Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C,0.818,2,3,3,2,136,0.64688289,40.46,107.2106,2.537011223,725.6403482,0,0,0,358.547,6.46084
96-73-1,O=[N+]([O-])c1ccc(c(c1)S(=O)(=O)O)Cl,0.48,1,4,8,2,76,0.477430632,97.51,47.921,3.442938768,482.995273,0,0,1,237.62,1.4949
96-76-4,Oc1ccc(cc1C(C)(C)C)C(C)(C)C,2.511,1,1,1,0,84,0.680250063,20.23,65.5068,3.299357946,350.5819417,0,0,0,206.329,3.9872
96-96-8,O=[N+]([O-])c1cc(OC)ccc1(N),0.724,1,4,5,2,64,0.408306999,78.39,44.0608,3.167265778,311.51984,0,0,0,168.152,1.1856
97-23-4,Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl,2.097,2,2,4,2,88,0.864712718,40.46,69.0396,2.370227579,503.6108804,0,0,2,269.127,3.9954
98-08-8,FC(F)(F)c1ccccc1,1.685,1,0,3,0,54,0.527460746,0,31.444,2.966043179,199.841246,0,0,3,146.111,2.7054
98-10-2,O=S(=O)(N)c1ccccc1,0.356,1,2,4,1,54,0.638363783,60.16,37.8152,3.218646629,303.7795181,0,0,0,157.194,0.334
98-15-7,FC(F)(F)c1cccc(c1)Cl,2.32,1,0,4,0,60,0.574415672,0,36.454,3.059901692,254.1077533,0,0,4,180.556,3.3588
98-47-5,O=[N+]([O-])c1cccc(c1)S(=O)(=O)O,0.7,1,4,7,2,70,0.435995973,97.51,42.911,3.291324672,438.0927627,0,0,0,203.175,0.8415
98-54-4,Oc1ccc(cc1)C(C)(C)C,1.753,1,1,1,0,60,0.602501219,20.23,46.8068,2.993754788,228.0448443,0,0,0,150.221,2.6897
98-73-7,O=C(O)c1ccc(cc1)C(C)(C)C,0.341,1,1,2,1,70,0.717431531,37.3,52.1013,3.008740829,303.8573182,1,1,0,178.231,2.6823
98-83-9,C=C(c1ccccc1)C,1.972,1,0,0,1,46,0.531525396,0,41.15,2.981454614,196.538112,0,0,0,118.179,2.7197
98-84-0,NC(c1ccccc1)C,0.641,1,1,1,1,48,0.600981723,26.02,39.0444,2.848234051,167.1823264,0,0,0,121.183,1.7063
98-95-3,O=[N+]([O-])c1ccccc1,0.641,1,2,3,1,46,0.420075745,43.14,33.0964,2.981454614,207.5576621,0,0,0,123.111,1.5948
99-08-1,O=[N+]([O-])c1cccc(c1)C,0.95,1,2,3,1,52,0.437911866,43.14,37.8334,3.069899266,257.5379489,0,0,0,137.138,1.90322
99-09-2,O=[N+]([O-])c1cccc(N)c1,0.533,1,3,4,1,52,0.359543609,69.16,37.5088,3.069899266,259.6796584,0,0,0,138.126,1.177
99-54-7,O=[N+]([O-])c1ccc(c(c1)Cl)Cl,1.917,1,2,5,1,58,0.506569142,43.14,43.1164,3.151549668,300.6337992,0,0,2,192.001,2.9016
99-65-0,O=[N+]([O-])c1cccc(c1)[N+](=O)[O-],0.773,1,4,6,2,62,0.494119263,86.28,39.7508,3.121805775,306.8248997,0,0,0,168.108,1.503
99-71-8,Oc1ccc(cc1)C(C)CC,1.387,1,1,1,2,60,0.686860449,20.23,46.8128,2.805744532,212.8193159,0,0,0,150.221,2.9057
